475	9.75E+01	5.51E+02	1.38E+03	3.26E+03	1.95E+04	4.22E+04	6.67E+04	1.01E+05	1.95E+05	1.01E+05	1.37E+05	1.00E+05	1.88E+05	6.93E+05	4.70E+05	6.33E+05	9.11E+05	1.77E+06	3.17E+06	3.49E+06	5.01E+06	6.85E+06	8.15E+06	1.04E+07	1.36E+07	1.87E+07	2.31E+07	2.98E+07	3.77E+07	3.70E+07	4.84E+07	6.28E+07	8.33E+07	1.09E+08	1.44E+08	1.86E+08	2.44E+08	3.21E+08	4.20E+08	5.48E+08	7.54E+08	9.24E+08	1.23E+09	1.63E+09	2.08E+09	2.73E+09	3.61E+09	4.49E+09	6.07E+09	3.70E+09	4.88E+09	6.24E+09	8.10E+09	1.06E+10	1.31E+10	1.75E+10	2.21E+10	2.93E+10	3.19E+10
525	5.73E+01	3.58E+02	9.34E+02	2.18E+03	1.30E+04	2.96E+04	4.63E+04	6.96E+04	1.44E+05	9.28E+04	1.25E+05	7.29E+04	1.88E+05	5.33E+05	3.81E+05	5.53E+05	8.46E+05	1.28E+06	2.46E+06	2.18E+06	3.53E+06	5.52E+06	6.74E+06	8.03E+06	1.03E+07	1.45E+07	1.83E+07	2.39E+07	2.96E+07	2.82E+07	3.68E+07	4.75E+07	6.29E+07	8.31E+07	1.10E+08	1.43E+08	1.87E+08	2.47E+08	3.22E+08	4.20E+08	5.91E+08	7.13E+08	9.58E+08	1.28E+09	1.63E+09	2.15E+09	2.87E+09	3.54E+09	4.96E+09	2.86E+09	3.77E+09	4.94E+09	6.47E+09	8.23E+09	1.03E+10	1.38E+10	1.75E+10	2.32E+10	2.05E+10
575	3.46E+01	2.27E+02	5.79E+02	1.43E+03	8.52E+03	2.04E+04	3.17E+04	4.87E+04	1.02E+05	7.80E+04	1.06E+05	6.08E+04	1.96E+05	4.19E+05	3.51E+05	5.48E+05	7.18E+05	1.06E+06	1.95E+06	1.47E+06	2.43E+06	4.16E+06	5.28E+06	6.53E+06	8.53E+06	1.15E+07	1.49E+07	1.95E+07	2.45E+07	2.16E+07	2.78E+07	3.57E+07	4.75E+07	6.21E+07	8.22E+07	1.09E+08	1.42E+08	1.87E+08	2.43E+08	3.16E+08	4.54E+08	5.41E+08	7.37E+08	9.73E+08	1.25E+09	1.64E+09	2.22E+09	2.71E+09	3.91E+09	2.20E+09	2.88E+09	3.83E+09	5.09E+09	6.28E+09	8.07E+09	1.07E+10	1.37E+10	1.82E+10	1.29E+10
625	2.08E+01	1.33E+02	3.61E+02	9.21E+02	5.58E+03	1.36E+04	2.20E+04	3.50E+04	7.47E+04	6.65E+04	1.58E+05	4.20E+04	1.96E+05	3.27E+05	4.19E+05	6.60E+05	9.39E+05	1.31E+06	1.64E+06	9.50E+05	1.76E+06	2.66E+06	3.60E+06	5.44E+06	7.14E+06	9.83E+06	1.24E+07	1.58E+07	2.05E+07	1.68E+07	2.13E+07	2.69E+07	3.65E+07	4.68E+07	6.18E+07	8.24E+07	1.08E+08	1.42E+08	1.82E+08	2.35E+08	3.41E+08	4.08E+08	5.57E+08	7.27E+08	9.47E+08	1.24E+09	1.68E+09	2.05E+09	3.01E+09	1.68E+09	2.18E+09	2.95E+09	3.95E+09	4.77E+09	6.28E+09	8.26E+09	1.06E+10	1.41E+10	8.21E+09
675	1.22E+01	7.74E+01	2.35E+02	6.06E+02	3.61E+03	8.82E+03	1.49E+04	2.43E+04	5.53E+04	2.80E+04	8.78E+04	2.83E+04	1.16E+05	2.46E+05	2.42E+05	3.54E+05	5.01E+05	7.73E+05	1.35E+06	6.69E+05	1.04E+06	2.03E+06	2.48E+06	4.48E+06	5.64E+06	8.29E+06	1.14E+07	1.41E+07	1.77E+07	1.33E+07	1.66E+07	2.10E+07	2.83E+07	3.58E+07	4.72E+07	6.30E+07	8.26E+07	1.07E+08	1.36E+08	1.76E+08	2.53E+08	3.05E+08	4.16E+08	5.38E+08	7.12E+08	9.23E+08	1.26E+09	1.54E+09	2.27E+09	1.29E+09	1.65E+09	2.24E+09	3.05E+09	3.62E+09	4.86E+09	6.35E+09	8.18E+09	1.09E+10	5.37E+09
725	7.31E+00	5.37E+01	1.55E+02	3.89E+02	2.39E+03	6.06E+03	1.03E+04	1.74E+04	3.96E+04	4.33E+04	5.53E+04	2.04E+04	1.07E+05	2.00E+05	3.19E+05	4.12E+05	6.07E+05	7.37E+05	1.12E+06	5.14E+05	6.65E+05	1.06E+06	1.68E+06	3.72E+06	4.08E+06	6.20E+06	9.52E+06	1.16E+07	1.43E+07	1.06E+07	1.30E+07	1.67E+07	2.19E+07	2.78E+07	3.63E+07	4.88E+07	6.35E+07	8.20E+07	1.03E+08	1.33E+08	1.90E+08	2.34E+08	3.12E+08	3.98E+08	5.37E+08	6.87E+08	9.44E+08	1.16E+09	1.70E+09	9.93E+08	1.26E+09	1.71E+09	2.35E+09	2.76E+09	3.74E+09	4.88E+09	6.29E+09	8.35E+09	3.70E+09
775	4.32E+00	3.58E+01	9.85E+01	2.56E+02	1.59E+03	4.22E+03	7.21E+03	1.21E+04	3.02E+04	4.59E+04	6.12E+04	1.65E+04	8.96E+04	1.70E+05	1.79E+05	4.19E+05	4.76E+05	7.09E+05	9.70E+05	4.43E+05	6.03E+05	9.71E+05	1.13E+06	3.24E+06	3.04E+06	5.02E+06	8.09E+06	1.04E+07	1.25E+07	8.81E+06	1.06E+07	1.35E+07	1.74E+07	2.25E+07	2.87E+07	3.82E+07	4.93E+07	6.36E+07	8.01E+07	1.02E+08	1.44E+08	1.80E+08	2.34E+08	3.00E+08	4.04E+08	5.17E+08	7.06E+08	8.76E+08	1.27E+09	7.68E+08	9.73E+08	1.32E+09	1.81E+09	2.12E+09	2.88E+09	3.74E+09	4.81E+09	6.41E+09	2.66E+09
825	2.62E+00	2.73E+01	6.48E+01	1.63E+02	1.04E+03	2.66E+03	5.02E+03	8.34E+03	2.20E+04	2.43E+04	5.58E+04	1.39E+04	7.58E+04	1.38E+05	2.15E+05	2.39E+05	4.28E+05	5.72E+05	8.66E+05	3.72E+05	4.99E+05	7.10E+05	8.12E+05	2.79E+06	1.79E+06	3.52E+06	6.07E+06	8.57E+06	1.04E+07	7.55E+06	8.92E+06	1.11E+07	1.44E+07	1.85E+07	2.32E+07	3.10E+07	3.95E+07	5.08E+07	6.35E+07	7.99E+07	1.11E+08	1.44E+08	1.81E+08	2.29E+08	3.10E+08	3.93E+08	5.37E+08	6.65E+08	9.48E+08	6.04E+08	7.58E+08	1.03E+09	1.42E+09	1.64E+09	2.23E+09	2.90E+09	3.70E+09	4.95E+09	2.03E+09
875	1.57E+00	1.61E+01	4.26E+01	1.05E+02	6.94E+02	1.80E+03	3.39E+03	6.06E+03	1.46E+04	3.60E+04	4.59E+04	1.97E+04	1.23E+05	1.19E+05	2.08E+05	2.88E+05	3.47E+05	5.67E+05	7.63E+05	2.76E+05	3.05E+05	4.78E+05	9.31E+05	2.43E+06	1.30E+06	2.58E+06	4.40E+06	7.43E+06	9.51E+06	6.86E+06	7.76E+06	9.55E+06	1.20E+07	1.55E+07	1.92E+07	2.54E+07	3.24E+07	4.16E+07	5.18E+07	6.40E+07	8.75E+07	1.15E+08	1.42E+08	1.81E+08	2.40E+08	3.06E+08	4.14E+08	5.14E+08	7.18E+08	4.82E+08	6.03E+08	8.18E+08	1.12E+09	1.30E+09	1.75E+09	2.26E+09	2.89E+09	3.87E+09	1.62E+09
925	8.76E-01	7.76E+00	2.91E+01	7.45E+01	4.52E+02	1.23E+03	2.37E+03	4.40E+03	1.25E+04	1.97E+04	4.98E+04	1.24E+04	8.08E+04	1.00E+05	2.76E+05	3.04E+05	5.36E+05	6.31E+05	6.91E+05	2.34E+05	2.80E+05	4.23E+05	5.93E+05	2.21E+06	1.03E+06	2.10E+06	2.89E+06	6.38E+06	8.50E+06	6.31E+06	6.98E+06	8.33E+06	1.04E+07	1.37E+07	1.66E+07	2.15E+07	2.70E+07	3.50E+07	4.30E+07	5.31E+07	7.19E+07	9.39E+07	1.15E+08	1.45E+08	1.89E+08	2.44E+08	3.26E+08	4.07E+08	5.56E+08	3.88E+08	4.84E+08	6.57E+08	8.90E+08	1.04E+09	1.40E+09	1.80E+09	2.26E+09	3.04E+09	1.40E+09
