Energy (GeV) / Time (year),100,300,1000,3000,10000,30000,100000,300000,1000000,3000000
6030000,7.25E-01,1.91E-01,3.80E-02,8.08E-03,1.41E-03,2.80E-04,4.70E-05,9.13E-06,1.51E-06,2.91E-07
7230000,1.95E-01,5.09E-02,1.01E-02,2.14E-03,3.73E-04,7.40E-05,1.24E-05,2.41E-06,3.98E-07,7.68E-08
8680000,4.13E-02,1.07E-02,2.11E-03,4.45E-04,7.74E-05,1.53E-05,2.57E-06,4.99E-07,8.24E-08,1.59E-08
10400000,6.54E-03,1.68E-03,3.29E-04,6.92E-05,1.20E-05,2.38E-06,3.98E-07,7.74E-08,1.28E-08,2.47E-09
12500000,7.32E-04,1.86E-04,3.62E-05,7.62E-06,1.32E-06,2.61E-07,4.37E-08,8.48E-09,1.40E-09,2.70E-10
15000000,5.39E-05,1.36E-05,2.63E-06,5.52E-07,9.56E-08,1.89E-08,3.16E-09,6.13E-10,1.01E-10,1.95E-11
18000000,2.41E-06,6.01E-07,1.16E-07,2.43E-08,4.20E-09,8.29E-10,1.38E-10,2.69E-11,4.44E-12,8.56E-13
21600000,5.89E-08,1.46E-08,2.81E-09,5.85E-10,1.01E-10,1.99E-11,3.33E-12,6.46E-13,1.07E-13,2.06E-14
25900000,7.02E-10,1.73E-10,3.30E-11,6.87E-12,1.18E-12,2.34E-13,3.90E-14,7.56E-15,1.25E-15,2.41E-16
31100000,3.52E-12,8.60E-13,1.64E-13,3.40E-14,5.85E-15,1.15E-15,1.92E-16,3.73E-17,6.16E-18,1.19E-18
37300000,6.26E-15,1.52E-15,2.88E-16,5.96E-17,1.02E-17,2.02E-18,3.36E-19,6.52E-20,1.08E-20,2.08E-21
44800000,3.21E-18,7.73E-19,1.46E-19,3.01E-20,5.17E-21,1.02E-21,1.70E-22,3.29E-23,5.42E-24,1.05E-24
53800000,3.69E-22,8.82E-23,1.66E-23,3.42E-24,5.86E-25,1.15E-25,1.92E-26,3.72E-27,6.14E-28,1.18E-28
64500000,7.07E-27,1.68E-27,3.14E-28,6.47E-29,1.11E-29,2.18E-30,3.62E-31,7.02E-32,1.16E-32,2.23E-33
77400000,1.58E-32,3.72E-33,6.94E-34,1.42E-34,2.44E-35,4.79E-36,7.97E-37,1.54E-37,2.55E-38,4.91E-39
92900000,2.66E-39,6.25E-40,1.16E-40,2.38E-41,4.06E-42,7.97E-43,1.33E-43,2.57E-44,4.24E-45,8.17E-46
111000000,2.03E-47,4.74E-48,8.77E-49,1.79E-49,3.06E-50,6.01E-51,9.99E-52,1.93E-52,3.19E-53,6.15E-54
